Player	Age	Tm	Pos	GP	G	A	PTS	+/-	PIM
Jake Gardiner	29	CAR	D	68	4	20	24	-24	30
Rhett Gardner	23	DAL	C	8	0	0	0	0	2
Conor Garland	23	ARI	RW	68	22	17	39	1	20
Adam Gaudette	23	VAN	C	59	12	21	33	-7	37
Johnny Gaudreau	26	CGY	LW	70	18	40	58	-10	12
Brendan Gaunce	25	BOS	C	1	0	1	1	1	2
Cameron Gaunce	29	TBL	D	3	1	3	4	2	4
Frederik Gauthier	24	TOR	C	61	7	5	12	-4	10
Julien Gauthier	22	TOT	RW	17	0	3	3	1	8
Julien Gauthier	22	NYR	RW	12	0	2	2	-1	2
Julien Gauthier	22	CAR	RW	5	0	1	1	2	6
Vladislav Gavrikov	24	CBJ	D	69	5	13	18	1	18
Morgan Geekie	21	CAR	C	2	3	1	4	3	2
Nathan Gerbe	32	CBJ	C	30	4	6	10	-7	22
Timothy Gettinger	21	NYR	LW	2	0	1	1	1	0
Ryan Getzlaf	34	ANA	C	69	13	29	42	-16	58
Brian Gibbons	31	CAR	C	15	0	0	0	-7	4
Dennis Gilbert	23	CHI	D	21	1	2	3	-8	38
John Gilmour	26	BUF	D	4	0	0	0	-2	0
Mark Giordano	36	CGY	D	60	5	26	31	2	34
Samuel Girard	21	COL	D	70	4	30	34	1	17
Zemgus Girgensons	26	BUF	C	69	12	7	19	-1	10
Claude Giroux	32	PHI	C	69	21	32	53	7	28
Cody Glass	20	VEG	C	39	5	7	12	-7	6
Luke Glendening	30	DET	C	60	6	3	9	-29	14
Nikolay Goldobin	24	VAN	LW	1	0	0	0	0	0
Alex Goligoski	34	ARI	D	70	4	28	32	8	24
Cody Goloubef	30	TOT	D	26	1	1	2	-3	8
Cody Goloubef	30	OTT	D	24	1	1	2	-2	8
Cody Goloubef	30	DET	D	2	0	0	0	-1	0
Barclay Goodrow	26	TOT	RW	70	8	18	26	-8	97
Barclay Goodrow	26	SJS	RW	62	8	16	24	-8	80
Barclay Goodrow	26	TBL	RW	8	0	2	2	0	17
Shayne Gostisbehere	26	PHI	D	42	5	7	12	-4	20
Yanni Gourde	28	TBL	C	70	10	20	30	-5	49
Michael Grabner	32	ARI	RW	46	8	3	11	-4	6
Markus Granlund	26	EDM	C	34	3	1	4	-1	14
Mikael Granlund	27	NSH	C	63	17	13	30	-4	28
Derek Grant	29	TOT	C	56	15	10	25	1	30
Derek Grant	29	ANA	C	49	14	6	20	-1	28
Derek Grant	29	PHI	C	7	1	4	5	2	2
Tyler Graovac	26	VAN	C	8	2	0	2	-2	2
Kevin Gravel	27	TOR	D	3	0	0	0	0	0
Ryan Graves	24	COL	D	69	9	17	26	40	45
Mike Green	34	TOT	D	50	3	8	11	-34	32
Mike Green	34	DET	D	48	3	8	11	-32	32
Mike Green	34	EDM	D	2	0	0	0	-2	0
Andy Greene	37	TOT	D	63	2	12	14	1	16
Andy Greene	37	NJD	D	53	2	9	11	1	14
Andy Greene	37	NYI	D	10	0	3	3	0	2
Jordan Greenway	22	MIN	LW	67	8	20	28	2	54
Noah Gregor	21	SJS	C	28	3	2	5	-5	8
Rocco Grimaldi	26	NSH	C	66	10	21	31	10	10
Jordan Gross	24	ARI	D	2	0	1	1	2	0
Carl Grundstrom	22	LAK	RW	13	0	4	4	2	8
Matt Grzelcyk	26	BOS	D	68	4	17	21	15	34
Radko Gudas	29	WSH	D	63	2	13	15	15	40
Erik Gudbranson	28	TOT	D	51	4	5	9	0	95
Erik Gudbranson	28	ANA	D	44	4	5	9	0	91
Erik Gudbranson	28	PIT	D	7	0	0	0	0	4
Jake Guentzel	25	PIT	C	39	20	23	43	11	14
Brendan Guhle	22	ANA	D	30	4	4	8	-2	10
Carl Gunnarsson	33	STL	D	36	2	5	7	8	16
Denis Gurianov	22	DAL	RW	64	20	9	29	5	13
Nikita Gusev	27	NJD	LW	66	13	31	44	-15	12
David Gustafsson	19	WPG	C	22	1	0	1	-2	0
Erik Gustafsson	27	TOT	D	66	6	23	29	-9	27
Erik Gustafsson	27	CHI	D	59	6	20	26	-8	25
Erik Gustafsson	27	CGY	D	7	0	3	3	-1	2
Gaetan Haas	28	EDM	F	58	5	5	10	-1	6
Brandon Hagel	21	CHI	LW	1	0	0	0	0	0
Carl Hagelin	31	WSH	LW	58	8	17	25	12	16
Robert Hagg	24	PHI	D	49	3	10	13	14	30
Nicolas Hague	21	VEG	D	38	1	10	11	0	32
Ron Hainsey	38	OTT	D	64	1	11	12	10	12
Libor Hajek	21	NYR	D	28	0	5	5	-4	12
Jani Hakanpaa	27	ANA	D	5	1	0	1	1	2
Micheal Haley	33	NYR	C	22	1	0	1	-7	50
Taylor Hall	28	TOT	LW	65	16	36	52	-14	34
Taylor Hall	28	ARI	LW	35	10	17	27	-3	14
Taylor Hall	28	NJD	LW	30	6	19	25	-11	20
Dan Hamhuis	37	NSH	D	60	0	8	8	6	35
Dougie Hamilton	26	CAR	D	47	14	26	40	30	32
Travis Hamonic	29	CGY	D	50	3	9	12	-3	27
Noah Hanifin	23	CGY	D	70	5	17	22	-12	12
Joel Hanley	28	DAL	D	8	0	2	2	0	6
Jansen Harkins	22	WPG	C	29	2	5	7	-2	5
Scott Harrington	26	CBJ	D	39	1	7	8	-3	16
Ryan Hartman	25	MIN	RW	69	9	11	20	4	69
Garnet Hathaway	28	WSH	RW	66	9	7	16	6	79
Erik Haula	28	TOT	LW	48	12	12	24	1	22
Erik Haula	28	CAR	LW	41	12	10	22	1	20
Erik Haula	28	FLA	LW	7	0	2	2	0	2
Jayce Hawryluk	24	TOT	C	26	3	7	10	1	16
Jayce Hawryluk	24	FLA	C	15	1	2	3	-1	8
Jayce Hawryluk	24	OTT	C	11	2	5	7	2	8
John Hayden	24	NJD	C	43	3	1	4	-2	77
Kevin Hayes	27	PHI	RW	69	23	18	41	-6	34
Barrett Hayton	19	ARI	C	20	1	3	4	2	14
Victor Hedman	29	TBL	D	66	11	44	55	27	31
Tim Heed	29	SJS	D	38	1	4	5	-10	2
Danton Heinen	24	TOT	C	67	10	16	26	-2	10
Danton Heinen	24	BOS	C	58	7	15	22	3	8
Danton Heinen	24	ANA	C	9	3	1	4	-5	2
Ville Heinola	18	WPG	D	8	1	4	5	3	4
Miro Heiskanen	20	DAL	D	68	8	27	35	14	12
Darren Helm	33	DET	C	68	9	7	16	-6	37
Adam Henrique	29	ANA	C	71	26	17	43	-3	22
Tomas Hertl	26	SJS	C	48	16	20	36	-18	16
Joe Hicketts	23	DET	D	6	0	2	2	-5	2
Matthew Highmore	23	CHI	LW	36	2	4	6	-1	6
Vinnie Hinostroza	25	ARI	C	68	5	17	22	1	14
Roope Hintz	23	DAL	LW	60	19	14	33	3	16
Taro Hirose	23	DET	LW	26	2	5	7	-12	6
Nico Hischier	21	NJD	C	58	14	22	36	-16	12
Niklas Hjalmarsson	32	ARI	D	27	1	4	5	-2	14
Mike Hoffman	30	FLA	C	69	29	30	59	-5	28
Nick Holden	32	VEG	D	61	6	8	14	-1	13
Justin Holl	28	TOR	D	68	2	16	18	13	43
Korbinian Holzer	31	TOT	D	49	1	3	4	-2	37
Korbinian Holzer	31	ANA	D	46	1	3	4	-1	35
Korbinian Holzer	31	NSH	D	3	0	0	0	-1	2
Patric Hornqvist	33	PIT	RW	52	17	15	32	9	36
Bo Horvat	24	VAN	C	69	22	31	53	-15	21
Brett Howden	21	NYR	C	70	9	10	19	-11	28
